id,question,choice1,choice2,choice3,choice4,choice5,choice6,solution
1,How do you complete the sequence?,A,B,C,D,E,F,B
2,How do you complete the sequence?,A,B,C,D,E,F,C
3,How do you complete the sequence?,A,B,C,D,E,F,B
4,How do you complete the sequence?,A,B,C,D,E,F,D
5,How do you complete the sequence?,A,B,C,D,E,F,C
6,How do you complete the sequence?,A,B,C,D,E,F,F
7,How do you complete the sequence?,A,B,C,D,E,F,A
8,How do you complete the sequence?,A,B,C,D,E,F,E
9,How do you complete the sequence?,A,B,C,D,E,F,B
10,How do you complete the sequence?,A,B,C,D,E,F,B
11,How do you complete the sequence?,A,B,C,D,E,F,D
12,How do you complete the sequence?,A,B,C,D,E,F,B
13,How do you complete the sequence?,A,B,C,D,E,F,A
14,How do you complete the sequence?,A,B,C,D,E,F,E
15,How do you complete the sequence?,A,B,C,D,E,F,C
16,How do you complete the sequence?,A,B,C,D,E,F,F
17,How do you complete the sequence?,A,B,C,D,E,F,D
18,How do you complete the sequence?,A,B,C,D,E,F,E
19,How do you complete the sequence?,A,B,C,D,E,F,D
20,How do you complete the sequence?,A,B,C,D,E,F,D
21,How do you complete the sequence?,A,B,C,D,E,F,E
22,How do you complete the sequence?,A,B,C,D,E,F,D
23,How do you complete the sequence?,A,B,C,D,E,F,C
24,How do you complete the sequence?,A,B,C,D,E,F,E
25,How do you complete the sequence?,A,B,C,D,E,F,F
26,How do you complete the sequence?,A,B,C,D,E,F,B
27,How do you complete the sequence?,A,B,C,D,E,F,A
28,How do you complete the sequence?,A,B,C,D,E,F,B
29,How do you complete the sequence?,A,B,C,D,E,F,C
